DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10091.5	10.623	96.118	0.407	2.309	0.738	-8.522	0.776
10091.75	10.644	96.287	0.411	2.31	0.741	-8.573	0.778
10092	10.672	96.569	0.417	2.311	0.746	-8.545	0.776
10092.25	10.706	97.01	0.422	2.312	0.75	-8.474	0.771
10092.5	10.743	97.667	0.428	2.313	0.754	-8.398	0.763
10092.75	10.778	98.514	0.431	2.313	0.756	-8.351	0.755
10093	10.806	99.484	0.432	2.313	0.758	-8.345	0.749
10093.25	10.824	100.484	0.432	2.312	0.758	-8.372	0.746
10093.5	10.832	101.393	0.432	2.311	0.758	-8.42	0.746
10093.75	10.834	102.194	0.433	2.31	0.757	-8.468	0.748
10094	10.832	102.85	0.436	2.309	0.757	-8.485	0.751
10094.25	10.827	103.348	0.44	2.308	0.756	-8.449	0.752
10094.5	10.822	103.776	0.443	2.306	0.756	-8.357	0.751
10094.75	10.817	104.214	0.445	2.305	0.757	-8.239	0.75
10095	10.814	104.486	0.444	2.304	0.757	-8.146	0.748
10095.25	10.813	104.335	0.441	2.303	0.759	-8.125	0.747
10095.5	10.813	103.647	0.436	2.303	0.76	-8.189	0.75
10095.75	10.814	102.627	0.433	2.303	0.762	-8.32	0.754
10096	10.82	101.649	0.431	2.303	0.764	-8.482	0.761
10096.25	10.839	100.943	0.432	2.303	0.767	-8.646	0.768
10096.5	10.877	100.42	0.434	2.304	0.77	-8.801	0.775
10096.75	10.935	99.875	0.436	2.305	0.774	-8.947	0.781
10097	11.007	99.144	0.438	2.306	0.777	-9.085	0.787
10097.25	11.08	98.182	0.437	2.308	0.78	-9.209	0.791
10097.5	11.14	97.041	0.435	2.31	0.782	-9.306	0.796
10097.75	11.18	96.069	0.432	2.312	0.783	-9.369	0.799
10098	11.202	95.697	0.428	2.315	0.783	-9.405	0.803
10098.25	11.211	96.054	0.425	2.317	0.782	-9.432	0.806
10098.5	11.214	97.016	0.423	2.319	0.78	-9.467	0.808
10098.75	11.204	98.298	0.423	2.32	0.777	-9.51	0.809
10099	11.175	99.672	0.423	2.321	0.773	-9.545	0.808
10099.25	11.122	100.928	0.424	2.321	0.769	-9.545	0.804
10099.5	11.049	101.796	0.426	2.321	0.764	-9.493	0.798
10099.75	10.968	102.11	0.428	2.319	0.759	-9.388	0.79
10100	10.895	102.001	0.43	2.318	0.754	-9.248	0.781
10100.25	10.841	101.81	0.432	2.317	0.749	-9.103	0.772
